category,sub_category,link
Grocery,Rice & Pasta,https://www.amazon.eg/-/en/l/21840251031?_encoding=UTF8&ref_=cct_cg_Baby22_3a1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Grocery,Cooking & Baking,https://www.amazon.eg/-/en/l/21840234031?_encoding=UTF8&ref_=cct_cg_Baby22_3b1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Grocery,Herbs & Spices,https://www.amazon.eg/-/en/l/21840236031?_encoding=UTF8&ref_=cct_cg_Baby22_3c1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Grocery,Cereal & Oats,https://www.amazon.eg/-/en/l/21840252031?_encoding=UTF8&ref_=cct_cg_Baby22_3d1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Grocery,"Jams, Honey & Spreads",https://www.amazon.eg/-/en/l/21840239031?_encoding=UTF8&ref_=cct_cg_Baby22_3e1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Grocery,"Sauces, Gravies & Marinades",https://www.amazon.eg/-/en/l/21840254031?_encoding=UTF8&ref_=cct_cg_Baby22_3f1&pf_rd_p=52882527-4ac7-4e29-bb12-f042fc6331bb&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Beverages,Coffee,https://www.amazon.eg/-/en/l/21840370031?_encoding=UTF8&ref_=cct_cg_SUP22_3a1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Beverages,Tea,https://www.amazon.eg/-/en/l/21840371031?_encoding=UTF8&ref_=cct_cg_SUP22_3b1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Beverages,Water,https://www.amazon.eg/-/en/l/21840369031?_encoding=UTF8&ref_=cct_cg_SUP22_3c1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Beverages,Milk,https://www.amazon.eg/-/en/l/21840325031?_encoding=UTF8&ref_=cct_cg_SUP22_3d1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Beverages,Juices,https://www.amazon.eg/-/en/l/21840373031?_encoding=UTF8&ref_=cct_cg_SUP22_3e1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5
Beverages,Soft Drinks,https://www.amazon.eg/-/en/l/98177721031?_encoding=UTF8&ref_=cct_cg_SUP22_3f1&pf_rd_p=f9f23452-29c2-4058-b556-b3757cbf837a&pf_rd_r=EWXS4H5ZYKJQPTP4ERE5